	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Latitude		22.583403	22.621273	22.637492	22.652582	22.668263	22.684205	22.701231	22.726507	22.754352	22.776293	22.796383	22.827982	22.846719	22.867184	22.890155	22.905218	22.922836	22.565901	22.592361	22.621497	22.661553	22.682979	22.69896	22.725813	22.741396	22.760214	22.783057	22.800245	22.828722	22.851447	22.86647	22.887038	22.920932	22.946303	22.969495	22.908477	22.904949
Longitude		88.342913	88.339942	88.339648	88.347977	88.341355	88.342148	88.342573	88.343493	88.338632	88.328468	88.331956	88.34148	88.34721	88.354055	88.369818	88.376069	88.377653	88.371916	88.391081	88.393098	88.389309	88.38536	88.382471	88.377585	88.374792	88.37085	88.370316	88.373857	88.380429	88.395344	88.405445	88.417532	88.436872	88.451612	88.467812	88.412587	88.396462
Train Number	Running Days	0	4	6	8	10	11	13	16	19	22	24	28	30	33	36	37	39	0	4	7	11	14	15	18	20	22	25	27	30	33	35	38	42	45	48	3	5
Unnamed: 3		HWH/Howrah Junction (23 PFs)	LLH/Liluah (5 PFs)	BEQ/Belur (5 PFs)	BLY/Bally (6 PFs)	UPA/Uttarpara (3 PFs)	HMZ/Hind Motor (3 PFs)	KOG/Konnagar (3 PFs)	RIS/Rishra (4 PFs)	SRP/Shrirampur (Serampore) (4 PFs)	SHE/Seoraphuli Junction (6 PFs)	BBAE/Baidyabati (3 PFs)	BHR/Bhadreshwar (3 PFs)	MUU/Mankundu (3 PFs)	CGR/Chandan Nagar (3 PFs)	CNS/Chuchura (3 PFs)	HGY/Hooghly (3 PFs)	BDC/Bandel Junction (7 PFs)	SDAH/Sealdah (20 PFs)	BNXR/Bidhan Nagar Road (4 PFs)	DDJ/Dum Dum Junction (5 PFs)	BLH/Belgharia (4 PFs)	AGP/Agarpara (4 PFs)	SEP/Sodpur (4 PFs)	KDH/Khardaha (4 PFs)	TGH/Titagarh (4 PFs)	BP/Barrackpore (5 PFs)	PTF/Palta (4 PFs)	IP/Ichhapur (4 PFs)	SNR/Shyamnagar (4 PFs)	JGDL/Jagadal (4 PFs)	KNR/Kankinara (3 PFs)	NH/Naihati Junction (5 PFs)	HLR/Halisahar (2 PFs)	KPA/Kanchrapara (2 PFs)	KYI/Kalyani (4 PFs)	GFAE/Garifa (2 PFs)	HYG/Hooghly Ghat (2 PFs)
Unnamed: 4		"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"	"a
d"
37811	Daily	4:15	"04:23
04:24"	"04:26
04:27"	"04:29
04:30"	"04:32
04:33"	"04:34
04:35"	"04:37
04:38"	"04:40
04:41"	"04:43
04:44"	"04:47
04:48"	"04:49
04:50"	"04:53
04:54"	"04:55
04:56"	"04:58
04:59"	"05:01
05:02"	"05:04
05:05"	"05:14
05:16"																				
37813	Daily	5:00	"05:08
05:09"	"05:11
05:12"	"05:14
05:15"	"05:17
05:18"	"05:19
05:20"	"05:22
05:23"	"05:25
05:26"	"05:28
05:29"	"05:32
05:33"	"05:34
05:35"	"05:38
05:39"	"05:40
05:41"	"05:43
05:44"	"05:46
05:47"	"05:49
05:50"	"05:59
06:01"																				
37815	Daily	5:25			"05:37
05:38"	"05:39
05:40"	"05:42
05:43"			"05:49
05:50"	"05:53
05:54"	"05:55
05:56"	"05:59
06:00"		"06:03
06:04"	"06:12
06:13"		"06:19
06:20"																				
37817	Daily	6:20	"06:28
06:29"	"06:31
06:32"	"06:34
06:35"	"06:37
06:38"	"06:39
06:40"	"06:42
06:43"	"06:45
06:46"	"06:48
06:49"	"06:52
06:53"	"06:54
06:55"	"06:58
06:59"	"07:00
07:01"	"07:03
07:04"	"07:06
07:07"	"07:09
07:10"	"07:17
07:18"																				
37819	Daily	6:58	"07:06
07:07"	"07:09
07:10"	"07:12
07:13"	"07:15
07:16"	"07:17
07:18"	"07:20
07:21"	"07:23
07:24"	"07:26
07:27"	"07:30
07:31"	"07:32
07:33"	"07:36
07:37"	"07:38
07:39"	"07:41
07:42"	"07:44
07:45"	"07:47
07:48"	"07:57
07:59"																				
